sparql,template_name,variables,answer,question
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""group care facilities"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'group care facilities'},"['C2', 'C3', 'C4']",Which zoning districts allow group care facilities?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""group care facilities"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'group care facilities'},"['C2', 'C3', 'C4']",Which zoning districts permit group care facilities?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""group care facilities"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'group care facilities'},"['C2', 'C3', 'C4']",I would like to build group care facilities.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""dry cleaning plants"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'dry cleaning plants'},"['FI1', 'FI2', 'FI3']",Which zoning districts allow dry cleaning plants?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""dry cleaning plants"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'dry cleaning plants'},"['FI1', 'FI2', 'FI3']",Which zoning districts permit dry cleaning plants?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""dry cleaning plants"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'dry cleaning plants'},"['FI1', 'FI2', 'FI3']",I would like to build dry cleaning plants.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""community commercial centers (including wholesale and retail sales)"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'community commercial centers (including wholesale and retail sales)'},"['C3', 'C4']",Which zoning districts allow community commercial centers (including wholesale and retail sales)?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""community commercial centers (including wholesale and retail sales)"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'community commercial centers (including wholesale and retail sales)'},"['C3', 'C4']",Which zoning districts permit community commercial centers (including wholesale and retail sales)?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""community commercial centers (including wholesale and retail sales)"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'community commercial centers (including wholesale and retail sales)'},"['C3', 'C4']",I would like to build community commercial centers (including wholesale and retail sales).  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""manufacture and finishing"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'manufacture and finishing'},['C4'],Which zoning districts allow manufacture and finishing?
