question,document_identifier,question_identifier
Are community centers (including wholesale and retail sales) permitted in a C3 zoning district?,id9,qid500
Are community centers (including wholesale and retail sales) allowed in a C4 zoning district?,id9,qid501
Are community centers (including wholesale and retail sales) permitted in a C4 zoning district?,id9,qid502
Are health and medical institutions (such as hospitals) allowed in a C3 zoning district?,id9,qid503
Are health and medical institutions (such as hospitals) permitted in a C3 zoning district?,id9,qid504
Are health and medical institutions (such as hospitals) allowed in a C4 zoning district?,id9,qid505
Are health and medical institutions (such as hospitals) permitted in a C4 zoning district?,id9,qid506
Are hotels and motels (excluding other residential occupancies) allowed in a C3 zoning district?,id9,qid507
Are hotels and motels (excluding other residential occupancies) permitted in a C3 zoning district?,id9,qid508
Are hotels and motels (excluding other residential occupancies) allowed in a C4 zoning district?,id9,qid509
Are hotels and motels (excluding other residential occupancies) permitted in a C4 zoning district?,id9,qid510
Are commercial printing and publishing allowed in a C3 zoning district?,id9,qid511
Are commercial printing and publishing permitted in a C3 zoning district?,id9,qid512
Are commercial printing and publishing allowed in a C4 zoning district?,id9,qid513
Are commercial printing and publishing permitted in a C4 zoning district?,id9,qid514
Are taverns and cocktail lounges allowed in a C3 zoning district?,id9,qid515
Are taverns and cocktail lounges permitted in a C3 zoning district?,id9,qid516
Are taverns and cocktail lounges allowed in a C4 zoning district?,id9,qid517
Are taverns and cocktail lounges permitted in a C4 zoning district?,id9,qid518
Are indoor theaters allowed in a C3 zoning district?,id9,qid519
Are indoor theaters permitted in a C3 zoning district?,id9,qid520
Are indoor theaters allowed in a C4 zoning district?,id9,qid521
Are indoor theaters permitted in a C4 zoning district?,id9,qid522
Are self-storage warehouses allowed in a C3 zoning district?,id9,qid523
Are self-storage warehouses permitted in a C3 zoning district?,id9,qid524
Are self-storage warehouses allowed in a C4 zoning district?,id9,qid525
Are self-storage warehouses permitted in a C4 zoning district?,id9,qid526
Are major automotive repair allowed in a C4 zoning district?,id9,qid527
Are major automotive repair permitted in a C4 zoning district?,id9,qid528
Are commercial bakeries allowed in a C4 zoning district?,id9,qid529
Are commercial bakeries permitted in a C4 zoning district?,id9,qid530
