question,document_identifier,question_identifier
Are private garages allowed?,id17,qid1000
Are buildings accessory to the permitted used (including private garages and accessory living quarters) permitted?,id17,qid1001
Are buildings accessory to the permitted used (including private garages and accessory living quarters) allowed?,id17,qid1002
Are major automotive repair permitted?,id17,qid1003
Are major automotive repair allowed?,id17,qid1004
Are Minor automotive repair permitted?,id17,qid1005
Are Minor automotive repair allowed?,id17,qid1006
Are physical fitness centers permitted?,id17,qid1007
Are physical fitness centers allowed?,id17,qid1008
Are public and governmental services permitted?,id17,qid1009
Are public and governmental services allowed?,id17,qid1010
Are family and group day care facilities permitted?,id17,qid1011
Are family and group day care facilities allowed?,id17,qid1012
Are petroleum refining permitted?,id17,qid1013
Are petroleum refining allowed?,id17,qid1014
Are swimming pools and playgrounds permitted?,id17,qid1015
Are swimming pools and playgrounds allowed?,id17,qid1016
Are woodworking shops permitted?,id17,qid1017
Are woodworking shops allowed?,id17,qid1018
Are agricultural Use permitted?,id17,qid1019
Are agricultural Use allowed?,id17,qid1020
Are boat storage yards permitted?,id17,qid1021
Are boat storage yards allowed?,id17,qid1022
Are breweries permitted?,id17,qid1023
Are breweries allowed?,id17,qid1024
Are recreation centers permitted?,id17,qid1025
Are recreation centers allowed?,id17,qid1026
Are stadiums and arenas permitted?,id17,qid1027
Are stadiums and arenas allowed?,id17,qid1028
Are machine shops permitted?,id17,qid1029
Are machine shops allowed?,id17,qid1030
Are alcohol manufacturing permitted?,id17,qid1031
Are alcohol manufacturing allowed?,id17,qid1032
Are places of religious worship permitted?,id17,qid1033
Are places of religious worship allowed?,id17,qid1034
Are schools and colleges (excluding colleges or trade schools operated for profit) permitted?,id17,qid1035
Are schools and colleges (excluding colleges or trade schools operated for profit) allowed?,id17,qid1036
Are public parking lots permitted?,id17,qid1037
Are public parking lots allowed?,id17,qid1038
Are light commercial (excluding wholesale sales) permitted?,id17,qid1039
Are light commercial (excluding wholesale sales) allowed?,id17,qid1040
Are indoor theaters permitted?,id17,qid1041
Are indoor theaters allowed?,id17,qid1042
Are financial services permitted?,id17,qid1043
Are financial services allowed?,id17,qid1044
Are religious cultural and fraternal activities permitted?,id17,qid1045
Are religious cultural and fraternal activities allowed?,id17,qid1046
Are health and medical institutions (such as hospitals) permitted?,id17,qid1047
Are health and medical institutions (such as hospitals) allowed?,id17,qid1048
Are building material supply sales (wholesale and retail) permitted?,id17,qid1049
Are building material supply sales (wholesale and retail) allowed?,id17,qid1050
Are plastic product design molding and assembly permitted?,id17,qid1051
Are plastic product design molding and assembly allowed?,id17,qid1052
Are single-family dwellings permitted?,id17,qid1053
Are single-family dwellings allowed?,id17,qid1054
Are research or testing laboratories permitted?,id17,qid1055
Are research or testing laboratories allowed?,id17,qid1056
Are multiple family dwellings such as apartment houses boarding houses condominiums and congregate residences permitted?,id17,qid1057
Are multiple family dwellings such as apartment houses boarding houses condominiums and congregate residences allowed?,id17,qid1058
Are libraries permitted?,id17,qid1059
Are libraries allowed?,id17,qid1060
Are school and colleges operated for profit (including commercial vocational and trade schools) permitted?,id17,qid1061
Are school and colleges operated for profit (including commercial vocational and trade schools) allowed?,id17,qid1062
Are business services permitted?,id17,qid1063
Are business services allowed?,id17,qid1064
Are quarries permitted?,id17,qid1065
Are quarries allowed?,id17,qid1066
Are hotels and motels (excluding other residential occupancies) permitted?,id17,qid1067
Are hotels and motels (excluding other residential occupancies) allowed?,id17,qid1068
Are indoor swap meets permitted?,id17,qid1069
Are indoor swap meets allowed?,id17,qid1070
Are auto body shops permitted?,id17,qid1071
Are auto body shops allowed?,id17,qid1072
