use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""recreation centers"" .
        ?zoning rdfs:label ?zoning_label .
}
",recreation centers,Which zoning districts allow recreation centers?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""recreation centers"" .
        ?zoning rdfs:label ?zoning_label .
}
",recreation centers,Which zoning districts permit recreation centers?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""recreation centers"" .
        ?zoning rdfs:label ?zoning_label .
}
",recreation centers,I would like to build recreation centers.  Which zoning districts permits this use?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""quarries"" .
        ?zoning rdfs:label ?zoning_label .
}
",quarries,Which zoning districts allow quarries?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""quarries"" .
        ?zoning rdfs:label ?zoning_label .
}
",quarries,Which zoning districts permit quarries?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""quarries"" .
        ?zoning rdfs:label ?zoning_label .
}
",quarries,I would like to build quarries.  Which zoning districts permits this use?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""schools and colleges (excluding colleges or trade schools operated for profit)"" .
        ?zoning rdfs:label ?zoning_label .
}
",schools and colleges (excluding colleges or trade schools operated for profit),Which zoning districts allow schools and colleges (excluding colleges or trade schools operated for profit)?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""schools and colleges (excluding colleges or trade schools operated for profit)"" .
        ?zoning rdfs:label ?zoning_label .
}
",schools and colleges (excluding colleges or trade schools operated for profit),Which zoning districts permit schools and colleges (excluding colleges or trade schools operated for profit)?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""schools and colleges (excluding colleges or trade schools operated for profit)"" .
        ?zoning rdfs:label ?zoning_label .
}
",schools and colleges (excluding colleges or trade schools operated for profit),I would like to build schools and colleges (excluding colleges or trade schools operated for profit).  Which zoning districts permits this use?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""school and colleges operated for profit (including commercial, vocational and trade schools)"" .
        ?zoning rdfs:label ?zoning_label .
}
","school and colleges operated for profit (including commercial, vocational and trade schools)","Which zoning districts allow school and colleges operated for profit (including commercial, vocational and trade schools)?"
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""school and colleges operated for profit (including commercial, vocational and trade schools)"" .
        ?zoning rdfs:label ?zoning_label .
}
","school and colleges operated for profit (including commercial, vocational and trade schools)","Which zoning districts permit school and colleges operated for profit (including commercial, vocational and trade schools)?"
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""school and colleges operated for profit (including commercial, vocational and trade schools)"" .
        ?zoning rdfs:label ?zoning_label .
}
","school and colleges operated for profit (including commercial, vocational and trade schools)","I would like to build school and colleges operated for profit (including commercial, vocational and trade schools).  Which zoning districts permits this use?"
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""financial services"" .
        ?zoning rdfs:label ?zoning_label .
}
",financial services,Which zoning districts allow financial services?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""financial services"" .
        ?zoning rdfs:label ?zoning_label .
}
",financial services,Which zoning districts permit financial services?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""financial services"" .
        ?zoning rdfs:label ?zoning_label .
}
",financial services,I would like to build financial services.  Which zoning districts permits this use?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""places of religious worship"" .
        ?zoning rdfs:label ?zoning_label .
}
",places of religious worship,Which zoning districts allow places of religious worship?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""places of religious worship"" .
        ?zoning rdfs:label ?zoning_label .
}
",places of religious worship,Which zoning districts permit places of religious worship?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""places of religious worship"" .
        ?zoning rdfs:label ?zoning_label .
}
",places of religious worship,I would like to build places of religious worship.  Which zoning districts permits this use?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""temporary buildings"" .
        ?zoning rdfs:label ?zoning_label .
}
",temporary buildings,Which zoning districts allow temporary buildings?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""temporary buildings"" .
        ?zoning rdfs:label ?zoning_label .
}
",temporary buildings,Which zoning districts permit temporary buildings?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""temporary buildings"" .
        ?zoning rdfs:label ?zoning_label .
}
",temporary buildings,I would like to build temporary buildings.  Which zoning districts permits this use?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""boat storage yards"" .
        ?zoning rdfs:label ?zoning_label .
}
",boat storage yards,Which zoning districts allow boat storage yards?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""boat storage yards"" .
        ?zoning rdfs:label ?zoning_label .
}
",boat storage yards,Which zoning districts permit boat storage yards?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""boat storage yards"" .
        ?zoning rdfs:label ?zoning_label .
}
",boat storage yards,I would like to build boat storage yards.  Which zoning districts permits this use?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""wood products manufacturing and finishing"" .
        ?zoning rdfs:label ?zoning_label .
}
",wood products manufacturing and finishing,Which zoning districts allow wood products manufacturing and finishing?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""wood products manufacturing and finishing"" .
        ?zoning rdfs:label ?zoning_label .
}
",wood products manufacturing and finishing,Which zoning districts permit wood products manufacturing and finishing?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""wood products manufacturing and finishing"" .
        ?zoning rdfs:label ?zoning_label .
}
",wood products manufacturing and finishing,I would like to build wood products manufacturing and finishing.  Which zoning districts permits this use?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""private garages"" .
        ?zoning rdfs:label ?zoning_label .
}
",private garages,Which zoning districts allow private garages?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""private garages"" .
        ?zoning rdfs:label ?zoning_label .
}
",private garages,Which zoning districts permit private garages?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""private garages"" .
        ?zoning rdfs:label ?zoning_label .
}
",private garages,I would like to build private garages.  Which zoning districts permits this use?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""storage yards"" .
        ?zoning rdfs:label ?zoning_label .
}
",storage yards,Which zoning districts allow storage yards?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""storage yards"" .
        ?zoning rdfs:label ?zoning_label .
}
",storage yards,Which zoning districts permit storage yards?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""storage yards"" .
        ?zoning rdfs:label ?zoning_label .
}
",storage yards,I would like to build storage yards.  Which zoning districts permits this use?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""salt works"" .
        ?zoning rdfs:label ?zoning_label .
}
",salt works,Which zoning districts allow salt works?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""salt works"" .
        ?zoning rdfs:label ?zoning_label .
}
",salt works,Which zoning districts permit salt works?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""salt works"" .
        ?zoning rdfs:label ?zoning_label .
}
",salt works,I would like to build salt works.  Which zoning districts permits this use?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""cultural institutions (such as museums and art galleries)"" .
        ?zoning rdfs:label ?zoning_label .
}
",cultural institutions (such as museums and art galleries),Which zoning districts allow cultural institutions (such as museums and art galleries)?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""cultural institutions (such as museums and art galleries)"" .
        ?zoning rdfs:label ?zoning_label .
}
",cultural institutions (such as museums and art galleries),Which zoning districts permit cultural institutions (such as museums and art galleries)?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""cultural institutions (such as museums and art galleries)"" .
        ?zoning rdfs:label ?zoning_label .
}
",cultural institutions (such as museums and art galleries),I would like to build cultural institutions (such as museums and art galleries).  Which zoning districts permits this use?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""automotive self-service motor fuel dispensing facilities"" .
        ?zoning rdfs:label ?zoning_label .
}
",automotive self-service motor fuel dispensing facilities,Which zoning districts allow automotive self-service motor fuel dispensing facilities?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""automotive self-service motor fuel dispensing facilities"" .
        ?zoning rdfs:label ?zoning_label .
}
",automotive self-service motor fuel dispensing facilities,Which zoning districts permit automotive self-service motor fuel dispensing facilities?
use,"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""automotive self-service motor fuel dispensing facilities"" .
        ?zoning rdfs:label ?zoning_label .
}
",automotive self-service motor fuel dispensing facilities,I would like to build automotive self-service motor fuel dispensing facilities.  Which zoning districts permits this use?
